"SpMax_L" "J_Dz(e)" "C%" "SdssC" "HyWi_B(m)" "LOC" "SM6_L" "F03[C-O]" "Me" "Mi" "SpPosA_B(p)" "B01[C-Br]" "B03[C-Cl]" "SpMax_A" "Psi_i_1d" "SdO" "TI2_L" "SpMax_B(m)" "Psi_i_A" "SM6_B(m)" "Y"
"322" 4.732 3.0634 28.6 0 3.327 0.827 10.09 "8" 1.014 1.149 1.118 "0" "0" 2.236 0.004 0 1.026 3.426 2.278 7.977 "0"
"323" 4.17 3.021 22.2 -0.259 4.279 0.971 8.597 "0" 1.029 1.14 1.495 "0" "0" 1.848 0.396 9.583 1.542 10.692 3.257 14.218 "0"
"324" 5.248 4.9627 33.3 0 3.388 1.792 10.573 "0" 0.998 1.152 1.257 "0" "0" 2.247 -0.008 0 3.06 3.648 2.792 8.44 "0"
"325" 3.414 3.4592 28.6 0 2.634 1 7.408 "0" 1.009 1.119 1.384 "0" "0" 1.618 -0.642 0 1.707 3.844 2.792 8.128 "0"
"326" 3 1.925 11.1 0 1.922 0.918 6.594 "0" 0.997 1.203 1.033 "0" "0" 1.414 0.852 0 1.333 2.684 2.833 5.93 "0"
"327" 4.641 2.9372 47.4 0 3.37 1.261 9.714 "0" 0.986 1.106 1.331 "0" "1" 2.214 0.013 0 1.783 3.729 2.194 8.517 "0"
"328" 5.325 3.1334 53.3 -1.749 4.054 0.789 10.761 "8" 1.136 1.082 1.322 "0" "1" 2.534 0 22.449 1.13 4.276 3.152 9.574 "0"
"329" 4.783 3.1253 46.7 0 3.439 1.187 9.668 "0" 1.012 1.103 1.346 "0" "1" 2.222 -0.025 0 1.358 3.927 2.34 8.78 "0"
"330" 4.912 3.2934 40 0 3.087 0.881 9.863 "0" 0.976 1.129 1.285 "0" "0" 2.264 -0.024 0 0.95 3.72 2.111 8.103 "0"
"331" 4.732 3.2417 37.5 0 2.997 0.875 9.579 "0" 0.991 1.14 1.25 "0" "0" 2.194 0.045 0 0.854 3.655 2.417 7.973 "0"
"332" 4.596 3.1276 41.2 0 2.984 0.875 9.54 "0" 0.979 1.127 1.291 "0" "0" 2.175 0.043 0 1.069 3.632 2.167 7.954 "0"
"333" 4.562 3.1562 42.9 0 3.202 0.875 9.54 "0" 1.005 1.121 1.308 "0" "1" 2.17 0.045 0 1.14 3.87 2.431 8.463 "0"
"334" 5.029 3.5846 40 0 3.356 1.16 10.122 "4" 1.015 1.129 1.26 "0" "0" 2.318 -0.008 20.759 1.572 3.882 2.818 8.586 "0"
"335" 4.782 3.1979 41.2 0 3.507 1.273 9.947 "4" 1.043 1.124 1.26 "0" "1" 2.251 -0.008 20.346 1.951 3.848 2.995 8.81 "0"
"336" 5.004 3.5241 37.5 0 3.71 1.16 10.116 "0" 1.052 1.13 1.319 "0" "1" 2.327 -0.008 0 1.268 4.102 2.682 9.166 "0"
"337" 5.318 3.1083 40 0 3.272 1.16 10.388 "2" 0.981 1.125 1.263 "0" "0" 2.318 -0.007 0 1.782 3.702 2.235 8.244 "0"
"338" 4.807 3.2498 42.1 0 3.1 0.881 9.833 "3" 0.987 1.12 1.275 "0" "0" 2.246 -0.024 0 1.06 3.711 2.333 8.114 "0"
"339" 4.642 3.1871 38.9 0 3.105 1.187 9.631 "2" 0.998 1.132 1.231 "0" "0" 2.2 -0.025 0 1.487 3.648 2.315 8.042 "0"
"340" 4.965 3.6579 40 0 3.528 1.16 10.099 "6" 1.078 1.127 1.237 "0" "1" 2.305 -0.008 20.322 1.553 3.972 3.374 8.899 "0"
"341" 5.365 3.1068 39.1 0 3.287 1.455 10.315 "5" 0.998 1.127 1.217 "0" "0" 2.315 -0.008 0 1.897 3.657 2.402 8.196 "0"
"342" 4.783 3.2813 53.8 0 3.333 1.187 9.668 "0" 1.015 1.098 1.363 "0" "1" 2.222 -0.026 0 1.358 3.925 2.66 8.631 "0"
"343" 4 2.2857 40 0 2.914 0 8.908 "0" 0.965 1.125 1.295 "0" "0" 2 0.039 0 0.854 3.233 1.75 7.482 "0"
"344" 4.679 2.2806 28.6 0 3.084 1.261 9.715 "0" 0.974 1.154 1.159 "0" "0" 2.222 0.012 0 1.695 3.245 1.967 7.476 "0"
"345" 4.825 2.4725 33.3 0 3.15 1.185 9.902 "4" 0.993 1.139 1.177 "0" "0" 2.263 0.013 0 1.476 3.367 2.55 7.747 "0"
"346" 5.509 2.1816 48 0 3.897 0.648 10.62 "0" 0.989 1.084 1.449 "0" "1" 2.404 0 0 2.451 4.592 2.15 9.532 "0"
"347" 5.2 3.1674 45.5 0 3.793 1.125 10.598 "8" 1.058 1.121 1.262 "0" "0" 2.441 0 42.927 1.832 4.033 3.167 9.15 "0"
"348" 5.103 2.7331 55.6 -0.185 3.46 0.73 10.265 "6" 1.017 1.092 1.294 "0" "0" 2.393 -0.002 22.384 1.026 3.843 2.722 8.577 "0"
"349" 4.803 1.403 42.2 -0.069 4.134 0.477 10.907 "6" 1.003 1.127 1.215 "0" "0" 2.356 0 23.374 5.207 3.729 2.26 9.22 "0"
"350" 4.303 3.3382 33.3 0 2.741 0.862 9.067 "0" 0.998 1.152 1.289 "0" "0" 2.115 0.137 0 0.956 3.627 2.194 7.794 "0"
"351" 4.499 3.1284 46.7 0 3.013 1.125 9.311 "0" 0.984 1.116 1.299 "0" "0" 2.136 0.045 0 1.481 3.608 2.208 7.967 "0"
"352" 5.361 1.89 28.9 0 3.764 1.591 10.691 "16" 1.003 1.151 1.132 "0" "0" 2.407 0 0 3.261 3.495 2.154 8.325 "0"
"353" 5.336 2.228 58.3 0.284 4.113 1.013 10.917 "6" 1.037 1.07 1.377 "0" "0" 2.526 0 24.788 1.706 4.238 2.8 9.511 "0"
"354" 4.499 2.3906 28.6 0 2.889 1.125 9.311 "0" 0.987 1.152 1.131 "0" "0" 2.136 0.041 0 1.481 3.229 1.875 7.32 "0"
"355" 4.517 2.2821 25 0 2.994 1.409 9.391 "0" 0.984 1.166 1.129 "0" "0" 2.149 -0.023 0 2.036 3.219 1.944 7.385 "0"
"356" 4.982 2.3549 40 -0.186 3.329 0.762 10.226 "6" 1.015 1.129 1.216 "0" "0" 2.424 0.004 22.106 1.027 3.673 2.682 8.272 "0"
"357" 4.596 3.4161 45.5 0 3.382 0.875 9.54 "0" 1.047 1.111 1.35 "0" "1" 2.175 0.047 0 1.069 3.992 2.569 8.812 "0"
"358" 4.651 3.0402 33.3 0.498 3.349 0.906 9.773 "2" 1.05 1.117 1.331 "0" "1" 2.278 0.046 10.529 1.017 4.116 2.785 8.818 "0"
"359" 4.923 2.7189 46.7 0.014 3.395 0.664 10.037 "2" 1.018 1.097 1.327 "0" "0" 2.376 -0.008 10.934 1.057 4.009 2.433 8.695 "0"
"360" 3.414 2.2062 25 0 2.889 1 7.408 "0" 1.037 1.142 1.28 "0" "0" 1.618 -0.57 0 1.707 3.676 2.806 8.243 "0"
"361" 4.923 3.0313 41.7 0 3.164 1.185 9.911 "0" 0.966 1.121 1.299 "0" "0" 2.267 0.012 0 1.563 3.669 1.867 8.087 "0"
"362" 5.313 3.4071 31.6 0 3.492 1.16 10.388 "4" 1.031 1.136 1.244 "0" "0" 2.311 -0.008 21.362 1.833 4.725 3.114 9.499 "0"
"363" 5.072 2.4738 50 -0.266 3.72 0.703 10.481 "9" 1.015 1.104 1.267 "0" "0" 2.363 0 11.937 2.723 3.827 2.708 8.803 "0"
"364" 4.912 2.3426 48.1 0 3.633 0.648 10.338 "6" 0.998 1.108 1.281 "0" "0" 2.314 0 0 2.863 3.733 2.411 8.658 "0"
"365" 5.125 3.3889 30.8 0 2.821 1.299 10.01 "0" 0.96 1.144 1.246 "0" "0" 2.149 -0.062 0 2.097 3.283 1.76 7.401 "0"
"366" 5 3.756 20 0 3.4 0.722 9.657 "0" 1.212 1.121 1.407 "0" "0" 2 0.42 0 0.8 4.385 3.539 9.115 "0"
"367" 5.646 4.6399 25 0 3.827 0.811 10.505 "0" 1.199 1.114 1.392 "0" "0" 2.303 -0.086 0 1.411 4.444 3.396 9.531 "0"
"368" 5.646 4.8079 25 0 4.249 0.811 10.505 "0" 1.27 1.286 1.138 "1" "0" 2.303 -0.098 0 1.411 6.925 5 12.274 "0"
"369" 4.523 3.4355 28.6 0 2.939 1.837 9.454 "0" 0.966 1.151 1.173 "0" "0" 2.074 0.038 0 2.57 3.177 1.796 7.316 "0"
"370" 4.343 4.368 16.7 -2.076 3.044 1.5 9.309 "0" 1.088 1.201 1.095 "0" "0" 2 -0.099 19.316 2.682 3.563 3.917 8.058 "0"
"371" 4.737 4.1851 24.1 -0.804 3.693 2.074 10.071 "2" 1.014 1.146 1.233 "0" "0" 2.175 -0.002 21.065 3.255 3.856 2.81 8.938 "0"
"372" 5.262 4.758 27.7 0 4.111 3.113 10.545 "12" 0.999 1.146 1.156 "0" "0" 2.258 0 12.646 4.518 4.415 2.204 9.274 "0"
"373" 5.333 4.0653 30.2 0 4.471 2.205 10.331 "0" 0.957 1.134 1.366 "0" "0" 2.303 0 0 1.951 10.319 1.554 14.005 "0"
"374" 4.732 2.9815 47.4 1.121 3.102 1.187 9.642 "0" 0.969 1.109 1.324 "0" "0" 2.194 -0.024 0 1.659 3.632 2.037 8.078 "0"
"375" 4.912 3.2478 42.9 0 3.075 0.881 9.863 "0" 0.967 1.119 1.32 "0" "0" 2.264 -0.023 0 0.95 3.714 1.889 8.09 "0"
"376" 4.828 3.0766 45.5 0 3.188 1.261 9.749 "0" 0.968 1.113 1.31 "0" "0" 2.247 0.013 0 1.436 3.665 1.983 8.107 "0"
"377" 4.641 2.7973 41.7 0 3.157 1.261 9.714 "0" 0.966 1.121 1.279 "0" "0" 2.214 0.012 0 1.783 3.623 1.833 8.015 "0"
"378" 4.679 2.8711 41.7 0 3.157 1.261 9.715 "0" 0.966 1.121 1.283 "0" "0" 2.222 0.012 0 1.695 3.627 1.833 8.015 "0"
"379" 4.828 3.1972 50 0 3.219 1.261 9.749 "0" 0.971 1.104 1.335 "0" "0" 2.247 0.013 0 1.436 3.687 2.133 8.189 "0"
"380" 4.732 3.0207 50 0.933 3.844 1.187 9.642 "0" 0.985 1.094 1.395 "1" "0" 2.194 -0.024 0 1.659 6.881 2.12 11.597 "0"
"381" 4.517 2.8827 50 0 3.84 1.409 9.391 "0" 0.985 1.094 1.389 "1" "0" 2.149 -0.024 0 2.036 6.872 2.046 11.589 "0"
"382" 4.596 3.2349 50 0 3.373 0.875 9.54 "0" 1.025 1.094 1.377 "0" "1" 2.175 0.045 0 1.069 3.973 2.444 8.792 "0"
"383" 4.562 3.1831 50 0 3.373 0.875 9.54 "0" 1.025 1.094 1.372 "0" "1" 2.17 0.045 0 1.14 3.955 2.444 8.792 "0"
"384" 4.732 3.3007 50 0 3.373 0.875 9.579 "0" 1.025 1.094 1.374 "0" "1" 2.194 0.045 0 0.854 4.034 2.444 8.794 "0"
"385" 4.562 3.1356 50 0 4.225 0.875 9.54 "0" 1.009 1.077 1.482 "1" "0" 2.17 0.043 0 1.14 6.886 2.104 12.272 "0"
"386" 4.807 3.3045 46.7 0 3.444 0.881 9.833 "0" 1.012 1.103 1.366 "0" "1" 2.246 -0.025 0 1.06 4.005 2.358 8.857 "0"
"387" 4.912 3.3884 46.7 0 3.444 0.881 9.863 "0" 1.012 1.103 1.365 "0" "1" 2.264 -0.025 0 0.95 4.025 2.358 8.859 "0"
"388" 4.642 3.0494 40 0 3.08 1.187 9.631 "0" 0.976 1.129 1.275 "0" "0" 2.2 -0.024 0 1.487 3.634 1.981 8.001 "0"
"389" 4.675 2.2988 50 0 3.486 0 9.971 "0" 0.98 1.107 1.315 "0" "0" 2.236 0.001 0 2.829 3.648 1.987 8.469 "0"
"390" 4.807 3.3502 42.9 0 3.453 0.881 9.833 "0" 1.029 1.117 1.332 "0" "1" 2.246 -0.025 0 1.06 4.007 2.58 8.863 "0"
"391" 4.807 3.3499 42.9 0 3.453 0.881 9.833 "0" 1.029 1.117 1.334 "0" "1" 2.246 -0.025 0 1.06 3.996 2.58 8.863 "0"
"392" 4.649 2.3407 46.2 0 3.639 0.521 10.185 "0" 0.994 1.121 1.285 "0" "0" 2.236 0 0 3.626 3.712 2.2 8.678 "0"
"393" 4.923 3.5484 37.5 0 3.288 1.185 9.911 "4" 1.039 1.14 1.225 "0" "0" 2.267 0.015 20.295 1.563 3.857 3.133 8.508 "0"
"394" 4.965 3.6277 37.5 0 3.52 1.16 10.099 "4" 1.059 1.137 1.249 "0" "1" 2.305 -0.008 20.482 1.553 3.969 3.192 8.892 "0"
"395" 5.103 3.9386 33.3 0 3.761 1.197 10.456 "8" 1.101 1.15 1.217 "0" "1" 2.38 0.001 41.432 1.74 4.048 3.627 9.191 "0"
"396" 4.923 3.5714 42.9 0 3.445 1.185 9.911 "4" 1.061 1.121 1.273 "0" "1" 2.267 0.015 20.286 1.563 3.988 3.144 8.825 "0"
"397" 5.04 3.8356 37.5 0 3.513 1.258 10.159 "8" 1.087 1.141 1.204 "0" "0" 2.323 0.005 40.909 1.711 3.946 3.611 8.854 "0"
"398" 5.068 3.8515 36.8 0 3.576 1.23 10.309 "8" 1.067 1.14 1.216 "0" "0" 2.351 -0.002 41.436 1.581 3.962 3.462 8.914 "0"
"399" 5.006 3.7359 36.8 0 3.576 1.23 10.309 "8" 1.067 1.14 1.216 "0" "0" 2.338 -0.002 41.299 1.873 3.936 3.462 8.914 "0"
"400" 4.895 3.4879 41.2 0 3.512 1.16 10.099 "4" 1.043 1.124 1.278 "0" "1" 2.292 -0.008 20.423 1.696 3.974 3.01 8.886 "0"
"401" 5.402 3.7849 41.2 0 3.76 1.197 10.666 "4" 1.133 1.184 1.15 "0" "1" 2.403 0.001 20.484 1.679 3.991 4.026 9.077 "0"
"402" 5.006 3.7801 37.5 0 3.703 1.23 10.309 "8" 1.108 1.137 1.231 "0" "1" 2.338 -0.003 41.044 1.873 4.032 3.624 9.141 "0"
"403" 4.895 3.54 42.9 0 3.647 1.16 10.099 "4" 1.084 1.117 1.296 "0" "1" 2.292 -0.008 20.337 1.696 4.073 3.202 9.118 "0"
"404" 4.958 3.5995 42.9 0 3.647 1.16 10.099 "4" 1.084 1.117 1.299 "0" "1" 2.303 -0.008 20.422 1.602 4.057 3.202 9.118 "0"
"405" 5.098 2.6361 44.8 0.011 3.695 0.875 10.386 "0" 0.99 1.123 1.287 "0" "0" 2.358 0 0 2.298 3.746 2.25 8.719 "0"
"406" 4.77 3.0583 45 1.014 3.217 1.185 9.882 "2" 0.987 1.114 1.288 "0" "0" 2.236 0.014 0 1.74 3.69 2.4 8.228 "0"
"407" 4.947 2.9807 40 0 3.266 1.455 9.974 "3" 0.981 1.125 1.253 "0" "0" 2.282 -0.007 0 1.887 3.683 2.197 8.152 "0"
"408" 4.805 2.8459 40 0 3.266 1.455 9.947 "2" 0.981 1.125 1.25 "0" "0" 2.251 -0.007 0 2.041 3.657 2.197 8.148 "0"
"409" 5.459 2.9274 37.8 0 3.547 1.571 10.843 "2" 0.974 1.129 1.265 "0" "0" 2.378 -0.001 0 2.74 3.704 2.089 8.48 "0"
"410" 4.793 1.9089 36.7 0 3.74 3.025 10.128 "3" 0.971 1.131 1.238 "0" "0" 2.236 0 0 6.687 3.657 1.886 8.397 "0"
"411" 5.466 3.3208 37.2 0 3.66 1.494 10.995 "3" 0.972 1.13 1.245 "0" "0" 2.436 0 0 2.399 3.798 2.029 8.588 "0"
"412" 5.422 3.3311 37.8 0 3.551 1.161 10.929 "3" 0.974 1.129 1.265 "0" "0" 2.417 -0.001 0 2.084 3.799 2.1 8.548 "0"
"413" 5.102 3.2259 38.7 0 3.419 1.23 10.328 "4" 0.977 1.127 1.26 "0" "0" 2.358 -0.002 0 1.856 3.765 2.128 8.348 "0"
"414" 5.375 3.2786 39.3 0 3.351 1.124 10.524 "3" 0.978 1.126 1.266 "0" "0" 2.368 0.004 0 1.671 3.766 2.188 8.354 "0"
"415" 4.958 3.1448 40 0 3.272 1.16 10.099 "3" 0.981 1.125 1.268 "0" "0" 2.303 -0.007 0 1.602 3.731 2.212 8.236 "0"
"416" 5.489 3.563 37.2 0 3.664 1.194 11.033 "4" 0.972 1.13 1.253 "0" "0" 2.463 0 0 1.828 3.852 2.039 8.65 "0"
"417" 5.489 3.5897 36.6 0 3.678 1.194 11.033 "6" 0.982 1.132 1.237 "0" "0" 2.463 0 0 1.828 3.853 2.275 8.662 "0"
"418" 4.709 2.1739 50 0 3.558 0.544 10.149 "2" 0.986 1.104 1.304 "0" "0" 2.259 -0.001 0 2.952 3.676 2.179 8.558 "0"
"419" 4.817 2.0469 39.4 0 3.573 1.169 10.26 "3" 0.988 1.126 1.215 "0" "0" 2.301 0 0 3.268 3.665 1.967 8.497 "0"
"420" 4.845 2.7759 36.8 0 3.601 2.125 10.029 "6" 0.984 1.131 1.217 "0" "0" 2.27 0 0 3.574 3.678 1.958 8.337 "0"
"421" 5.377 3.3527 37.9 0 3.437 1.23 10.559 "5" 0.99 1.129 1.23 "0" "0" 2.375 -0.002 0 1.809 3.774 2.288 8.414 "0"
"422" 4.953 3.6002 38.9 0 3.37 1.273 9.975 "6" 1.041 1.132 1.21 "0" "0" 2.288 -0.008 20.612 1.602 3.861 2.985 8.551 "0"
"423" 4.965 3.6001 38.9 0 3.375 1.16 10.099 "6" 1.041 1.132 1.218 "0" "0" 2.305 -0.008 20.537 1.553 3.88 3.182 8.601 "0"
"424" 4.958 3.552 38.9 0 3.375 1.16 10.099 "6" 1.041 1.132 1.226 "0" "0" 2.303 -0.008 20.514 1.602 3.876 3.182 8.601 "0"
"425" 4.895 3.4973 38.9 0 3.375 1.16 10.099 "7" 1.041 1.132 1.222 "0" "0" 2.292 -0.008 20.318 1.696 3.863 3.182 8.601 "0"
"426" 5.171 3.8233 34.5 0 3.798 1.45 10.639 "11" 1.043 1.142 1.196 "0" "0" 2.417 0 42.668 1.814 3.972 3.265 9.052 "0"
"427" 4.732 3.3162 46.2 0 3.214 0.875 9.579 "2" 1.023 1.108 1.296 "0" "1" 2.194 0.046 0 0.854 3.907 2.681 8.476 "0"
"428" 4.596 3.2495 46.2 0 3.214 0.875 9.54 "2" 1.023 1.108 1.3 "0" "1" 2.175 0.046 0 1.069 3.879 2.681 8.473 "0"
"429" 4.562 3.173 46.2 0 3.796 0.875 9.54 "2" 1.016 1.1 1.347 "1" "0" 2.17 0.045 0 1.14 6.879 2.51 11.593 "0"
"430" 4.596 3.2243 46.2 0 3.796 0.875 9.54 "2" 1.016 1.1 1.355 "1" "0" 2.175 0.045 0 1.069 6.88 2.51 11.593 "0"
"431" 4.732 3.2896 46.2 0 3.796 0.875 9.579 "2" 1.016 1.1 1.351 "1" "0" 2.194 0.045 0 0.854 6.88 2.51 11.593 "0"
"432" 4.619 2.6198 45.5 0 4.594 2.305 9.896 "5" 1.021 1.098 1.412 "0" "1" 2.208 0.001 0 4.243 10.695 2.326 14.223 "0"
"433" 4.807 3.3155 43.8 0 3.297 0.881 9.833 "2" 1.012 1.113 1.296 "0" "1" 2.246 -0.025 0 1.06 3.921 2.568 8.562 "0"
"434" 4.807 3.3875 46.2 0 3.462 0.881 9.833 "2" 1.048 1.103 1.317 "0" "1" 2.246 -0.026 0 1.06 4.009 2.802 8.87 "0"
"435" 4.807 3.3439 46.2 0 4.264 0.881 9.833 "2" 1.034 1.088 1.415 "1" "0" 2.246 -0.025 0 1.06 6.892 2.5 12.274 "0"
"436" 4.912 3.4778 46.2 0 3.462 0.881 9.863 "2" 1.048 1.103 1.318 "0" "1" 2.264 -0.026 0 0.95 4.068 2.802 8.872 "0"
"437" 4.912 3.4781 46.2 0 3.462 0.881 9.863 "2" 1.048 1.103 1.317 "0" "1" 2.264 -0.026 0 0.95 4.032 2.802 8.872 "0"
"438" 4.807 3.3873 46.2 0 3.462 0.881 9.833 "2" 1.048 1.103 1.318 "0" "1" 2.246 -0.026 0 1.06 4.05 2.802 8.87 "0"
"439" 4.732 3.3803 46.2 0 3.462 0.881 9.803 "2" 1.048 1.103 1.328 "0" "1" 2.236 -0.026 0 0.95 3.998 2.802 8.868 "0"
"440" 5.071 3.8133 40 0 3.715 1.124 10.277 "6" 1.1 1.123 1.261 "0" "1" 2.353 0.005 20.509 1.513 4.076 3.407 9.175 "0"
"441" 4.562 1.9651 48.3 0 3.609 0 10.054 "4" 0.983 1.107 1.296 "0" "0" 2.194 0 0 4.13 3.587 1.989 8.536 "0"
"442" 4.962 2.3618 54.2 0.075 3.579 0.544 10.193 "4" 0.989 1.095 1.313 "0" "0" 2.307 -0.001 11.846 2.627 3.755 2.286 8.63 "0"
"443" 4.641 3.0954 57.1 0 3.292 1.261 9.714 "0" 1.006 1.101 1.35 "0" "0" 2.214 0.015 0 1.783 3.726 2.833 8.435 "0"
"444" 5.267 3.9658 57.1 0 4.005 1.197 10.51 "0" 1.099 1.085 1.402 "0" "1" 2.438 0.001 0 1.254 4.254 3.103 9.543 "0"
"445" 4.869 3.0922 36 -0.393 3.83 1.831 10.363 "2" 1.037 1.135 1.25 "0" "1" 2.296 -0.001 11.353 3.18 4.051 2.659 9.113 "0"
"446" 5.387 2.1249 44.2 -0.656 4.622 0.824 11.344 "12" 1.056 1.108 1.296 "0" "1" 2.42 0 35.742 5.31 4.741 2.823 10.284 "0"
"447" 4.994 3.2017 37.5 -0.425 3.582 1.805 10.269 "6" 0.995 1.132 1.221 "0" "0" 2.322 -0.001 11.111 2.668 3.713 2.322 8.49 "0"
"448" 4.975 3.2319 37.9 -0.432 3.525 1.733 10.222 "6" 0.998 1.132 1.222 "0" "0" 2.311 0.001 11.023 2.571 3.713 2.381 8.464 "0"
"449" 4.872 3.4872 47.4 0 3.533 1.604 10.05 "2" 1.033 1.118 1.275 "0" "0" 2.294 -0.002 19.925 2.223 3.783 2.923 8.667 "0"
"450" 4.499 2.125 33.3 0 2.843 1.125 9.311 "0" 0.961 1.138 1.199 "0" "0" 2.136 0.034 0 1.481 3.15 1.542 7.158 "0"
"451" 4 2 33.3 0 2.565 0 8.623 "0" 0.961 1.138 1.167 "0" "0" 2 0.103 0 0.667 3.003 1.5 6.76 "0"
"452" 4 2.2551 37.5 0 2.618 0 8.623 "0" 0.964 1.13 1.226 "0" "0" 2 0.112 0 0.667 3.175 1.667 7.081 "0"
"453" 5.236 2.8937 33.3 0 5.031 0.799 10.434 "0" 1.043 1.091 1.534 "1" "1" 2.414 0.004 0 0.873 6.951 2.155 13.179 "0"
"454" 4.414 2.1712 33.3 0 2.995 0.802 9.183 "0" 0.979 1.135 1.23 "0" "1" 2.101 -0.064 0 0.975 3.658 1.849 7.988 "0"
"455" 4.814 2.5137 33.3 0 4.816 0.827 10.135 "0" 0.999 1.112 1.457 "1" "0" 2.247 0.003 0 1.244 6.915 1.861 12.953 "0"
"456" 5.401 3.3983 34.6 0 4.883 2.184 11.058 "5" 0.998 1.12 1.391 "0" "1" 2.466 0 0 3.079 10.323 2.159 14.019 "0"
"457" 5.276 3.4588 31 0 3.931 1.693 10.742 "12" 1.038 1.127 1.273 "0" "0" 2.357 0 21.265 3.021 4.702 2.822 9.707 "0"
"458" 5.236 3.8407 46.2 0 5.017 0.799 10.434 "2" 1.086 1.051 1.542 "1" "0" 2.414 0.004 0 0.873 6.982 2.479 13.184 "0"
"459" 5.459 3.6981 37.5 -1.093 3.762 1.162 11.1 "8" 0.993 1.13 1.233 "0" "0" 2.467 0 11.22 1.737 3.883 2.546 8.814 "0"
"460" 5.295 3.5985 35.7 -0.016 4.233 1.846 10.866 "11" 1.063 1.116 1.297 "0" "1" 2.394 0 11.888 3.082 4.432 2.794 9.894 "0"
"461" 4.868 2.343 50 0 3.542 0.816 10.187 "0" 0.971 1.104 1.322 "0" "0" 2.307 -0.001 0 2.434 3.738 1.893 8.539 "0"
"462" 5.114 2.4193 47.1 0 3.66 0.703 10.497 "0" 0.969 1.11 1.324 "0" "0" 2.374 0 0 2.706 3.771 1.875 8.682 "0"
"463" 4.732 2.1649 44.8 0 3.617 0.648 10.3 "0" 0.983 1.12 1.293 "0" "0" 2.275 0 0 3.095 3.694 2.144 8.636 "0"
"464" 5.611 2.1018 45 0 3.889 0.548 10.936 "4" 0.987 1.114 1.259 "0" "0" 2.488 0 0 2.321 3.787 2.171 8.859 "0"
"465" 4.961 2.4328 48.1 0 3.947 0.732 10.578 "6" 1.022 1.104 1.305 "0" "1" 2.349 0 0 3.001 3.939 2.572 9.249 "0"
"466" 5.221 2.7448 48.1 0 4.379 0.74 10.991 "6" 1.07 1.095 1.336 "0" "1" 2.449 0 0 3.068 4.183 2.802 9.891 "0"
"467" 4.887 2.291 44.8 0 3.936 0.732 10.577 "0" 1.005 1.116 1.32 "0" "1" 2.329 0 0 3.219 3.954 2.337 9.239 "0"
"468" 5.415 2.605 40.4 0 4.08 1.006 11.361 "8" 0.979 1.124 1.277 "0" "0" 2.459 0 0 3.688 3.872 2.133 9.14 "0"
"469" 4.887 1.7855 31.9 0 3.616 0.732 10.577 "0" 0.97 1.145 1.211 "0" "0" 2.329 0 0 3.219 3.374 1.794 8.174 "0"
"470" 5.511 2.4453 45.5 0 3.741 0.732 10.806 "4" 0.992 1.113 1.271 "0" "0" 2.42 0 0 2.731 3.785 2.348 8.784 "0"
"471" 5.076 1.9467 42 -0.185 4.049 2.094 10.679 "10" 0.989 1.121 1.25 "0" "0" 2.372 0 12.363 5.623 3.827 2.222 8.963 "0"
"472" 5.656 2.6715 45.7 -0.741 4.116 1.33 10.978 "9" 1.02 1.11 1.279 "0" "1" 2.481 0 12.298 2.211 3.944 2.562 9.362 "0"
"473" 5.534 2.6742 45.5 0 5.001 0.74 11.131 "4" 1.019 1.094 1.4 "1" "0" 2.475 0 0 2.978 6.896 2.361 12.971 "0"
"474" 5.003 2.9434 50 0 3.347 0.629 10.084 "0" 0.982 1.108 1.321 "0" "0" 2.351 0.004 0 1.075 3.876 2.091 8.48 "0"
"475" 5.097 2.9965 45.5 0 3.429 0.73 10.265 "0" 0.988 1.121 1.301 "0" "0" 2.39 -0.002 0 1.128 3.918 2.222 8.577 "0"
"476" 5.119 3.0152 45.5 0 3.429 0.73 10.265 "0" 0.988 1.121 1.302 "0" "0" 2.394 -0.002 0 1.098 3.921 2.222 8.577 "0"
"477" 4.933 2.0578 53.3 0 3.772 0 10.465 "0" 0.98 1.1 1.34 "0" "0" 2.359 0 0 3.08 3.865 1.951 8.875 "0"
"478" 5.177 3.0834 52.6 0 3.754 0.773 10.418 "3" 1.027 1.093 1.337 "0" "1" 2.426 0.001 0 1.085 4.122 2.504 9.163 "0"
"479" 4.861 2.4143 45.5 0 3.186 0 9.863 "0" 0.968 1.113 1.3 "0" "0" 2.303 -0.007 0 1.047 3.657 1.733 8.069 "0"
"480" 4.802 2.1315 42.9 0 3.065 0 9.805 "0" 0.967 1.119 1.308 "0" "0" 2.323 0.012 0 0.95 3.466 1.685 7.805 "0"
"481" 4.783 2.289 42.9 1.669 3.072 1.057 9.982 "0" 0.967 1.119 1.324 "0" "0" 2.413 0.012 0 1.358 3.594 1.704 7.933 "0"
"482" 5 2.039 45.5 0 3.196 0 10.284 "0" 0.968 1.113 1.35 "0" "0" 2.518 0.003 0 0.912 3.633 1.633 8.066 "0"
"483" 5.352 2.4062 53.8 -0.309 3.801 0.682 10.784 "8" 1.011 1.099 1.298 "0" "0" 2.518 0 24.44 1.322 3.966 2.569 8.965 "0"
"484" 4.88 2.4429 50 0 3.578 0.673 10.289 "4" 1.003 1.104 1.277 "0" "0" 2.316 -0.001 0 2.38 3.767 2.476 8.634 "0"
"485" 5.393 2.1651 47.4 1.199 3.776 0.662 10.741 "0" 0.969 1.109 1.317 "0" "0" 2.366 0 0 3.601 3.697 1.931 8.77 "0"
